"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2015","mathScores","readingScores","scienceScores"
"103792","Belgium","BEL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",20.5,506.9844,498.5242,501.9997
"115488","Brazil","BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",2331933197388.04,377.0695,407.3486,400.6821
"115669","Brazil","BRA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",26.7,377.0695,407.3486,400.6821
"115719","Brazil","BRA","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",62.2000007629395,377.0695,407.3486,400.6821
"115736","Brazil","BRA","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",1,377.0695,407.3486,400.6821
"115745","Brazil","BRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",75.1991219512195,377.0695,407.3486,400.6821
"115820","Brazil","BRA","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",1.36442825783942,377.0695,407.3486,400.6821
"115962","Brazil","BRA","Number of infant deaths","SH.DTH.IMRT",41570,377.0695,407.3486,400.6821
"116023","Brazil","BRA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",11.36829449,377.0695,407.3486,400.6821
"116212","Brazil","BRA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,377.0695,407.3486,400.6821
"116279","Brazil","BRA","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",70.7708042661703,377.0695,407.3486,400.6821
"116392","Brazil","BRA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",6.3,377.0695,407.3486,400.6821
"120213","Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",54639046566.9725,441.1899,431.7175,445.772
"120394","Bulgaria","BGR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",1.8,441.1899,431.7175,445.772
